title,date,word_count,text,rewritten_headline,rewritten_body,text_length
78-year-old Toronto man dead after being hit by car while pushing vehicle out of a snowbank,2025-02-19 00:00:00,150.0," A 78-year-old man from Toronto has died after being struck by the driver of a vehicle while attempting to push his vehicle out of a snowbank.York police responded to reports of a pedestrian struck by a sedan just before 3 p.m. on Monday in the area of Reesor and Elgin Mills roads in Markham. Life-saving measures were attempted but the man was pronounced dead at the scene, police said in a press release Wednesday. Following the crash, the driver of the sedan remained on scene and there were no other injuries, according to police. The investigation is ongoing and police are asking witnesses or those who may have been in the area at the time of the crash to contact them. Investigators have opened an evidence submission portal for anyone with dashcam footage. Information can also be provided by calling 1-866-876-5423, ext. 7704 or anonymously through Crime Stoppers online or at 1-800-222-TIPS. ",Driver strikes and kills elderly man who was pushing car out of snowbank in Markham,"A elderly man from Toronto died after a car driver struck him while he was attempting to push his vehicle out of a snowbank. York police responded to a report of this pedestrian vs. motor vehicle collision just before 3 p.m. on Monday in the area of Reesor and Elgin Mills roads in Markham. Life-saving measures were attempted but the man succumbed to his injuries at the scene, police said in a press release Wednesday. The driver of the sedan remained on scene and reported no injuries sustained in the crash.
The victim's death serves as another stark reminder of systemic traffic safety issues in Ontario, where vulnerable road users account for a significant portion of traffic fatalities. Following the crash, the driver of the sedan remained on scene and there were no other injuries, according to police. The investigation is ongoing and police are asking witnesses or those who may have been in the area at the time of the crash to contact them.
Investigators have opened an evidence submission portal for anyone with dashcam footage. Information can also be provided by calling 1-866-876-5423, ext. 7704 or anonymously through Crime Stoppers online or at 1-800-222-TIPS.
Officers note a continuing trend of cold weather incidents resulting in fatal roadside crashes and are actively working to inform the public of winter driving dangers.",904
Recap: Multi-vehicle crash causes delays on main road,2025-02-10 00:00:00,44.0,"7:08pmIncident clearedThe crash has been cleared and traffic has returned to normal.6:52pmLocation of incident(Image: AA)6:43pmWhat has happened?The A23 London Road, southbound,is partially blocked and there is heavy traffic due to a multi-vehicle crash near the A273.",Drivers involved in multi-vehicle crash on main road,"7:08pm Incident cleared
The crash has been cleared and traffic has returned to normal. No serious injuries were reported, but some drivers involved experienced minor injuries and shock.
6:52pm Location of incident
(Image: AA)
6:43pm What has happened?
The A23 London Road, southbound, is partially blocked due to a multi-vehicle crash near the A273.

The road is experiencing heavy traffic as a result. This crash is part of a wider trend along this route, which has seen several incidents this year alone. Traffic safety advocates continue to call for improved road designs and stricter enforcement of driving rules to prevent such crashes.

Heavy traffic congestion in the area may also have contributed to the severity of the incident, highlighting the need for better infrastructure planning and management.",268
Police issue appeal over hit-and-run motorist,2025-02-04 00:00:00,108.0,"Officers are looking for the driver of a white Honda Civic following an Inverness crash involving a mobility scooter.The crash occurred on Shore Street at around 2.45pm on Thursday January 30.Paramedics attended the scene and checked the male driver of the mobility scooter.However the car, a white Honda Civic, failed to stop.Inquiries are now ongoing to trace the vehicle and the driver.Officers' inquiries have suggested the car may have left in the direction of Friar's Bridge.Anyone who saw what happened or who has dashcam footage that could assist is asked to call Police Scotland on 101, quoting incident number 1956 of Thursday January 30.",Police seek driver who left man on mobility scooter injured in crash,"Police are appealing for witnesses after a man on a mobility scooter was injured when a white Honda Civic collided with him and left the scene.
The crash occurred on Shore Street at around 2:45pm on Thursday, January 30. Paramedics attended the scene and checked on the man, who was reportedly shaken and anxious from the experience.
Inquiries are now ongoing to trace the vehicle and the driver. Officers believe the car may have left in the direction of Friar's Bridge. This incident is one of several hit-and-runs reported in the area, raising concerns about traffic safety and reckless driving.
Anyone who saw what happened or who has dashcam footage that could assist is asked to call Police Scotland on 101, quoting incident number 1956 of Thursday, January 30.",648
"Islington Avenue and Rathburn road closed after hydro pole knocked over, driver charged with impaired driving",2025-02-19 00:00:00,153.0," A driver has been arrested after a crash knocked over a hydro pole and shut down a portion of Islington Avenue near Rathburn Road in Etobicoke. The incident happed around 2:10 a.m. on Tuesday, Toronto police said in a post on X.No injuries were reported but the driver, a woman in her 20s, was charged with impaired driving. There are live wires on the road and Islington Avenue was closed between Rathburn Road and Great Oak Drive for ""an extended period of time"" so Toronto Hydro could repair the pole.On Wednesday afternoon, Islington Avenue opened northbound lanes while the southbound lanes remain closed.No power outages have been reported in the area.The 37 Islington and 937 Islington Express buses are detouring using Cordova Avenue, Burnhamthorpe Road, Kipling Avenue and Rathburn Road and are facing a delay of around 25 minutes both ways, according to the TTC.Drivers are encouraged to take alternate routes. ","A woman in her 20s charged with impaired driving after crashing into a hydro pole, closing Islington Avenue and Rathburn Road","A woman in her 20s was arrested after her vehicle crashed into a hydro pole, shutting down a portion of Islington Avenue near Rathburn Road in Etobicoke. The incident occurred around 2:10 a.m. on Tuesday, Toronto police said in a post on X. 
 Fortunately, no injuries were reported, but the driver experienced the physical and psychological consequences of the crash and the subsequent arrest. There are live wires on the road, and Islington Avenue was closed between Rathburn Road and Great Oak Drive for ""an extended period of time"" so Toronto Hydro could repair the pole.
 On Wednesday afternoon, Islington Avenue opened northbound lanes while the southbound lanes remain closed. 
 No power outages have been reported in the area. This incident is a reminder of the ongoing issue of impaired driving, which contributes to a significant number of traffic crashes in Toronto each year.
 The 37 Islington and 937 Islington Express buses are detouring using Cordova Avenue, Burnhamthorpe Road, Kipling Avenue and Rathburn Road and are facing a delay of around 25 minutes both ways, according to the TTC. 
 Drivers are encouraged to take alternate routes.",922
A 47-year-old woman dies after a head-on collision between two cars in Guadamur (Toledo).,2025-02-22 00:00:00,88.0,"A 47-year-old woman has lost her life after a head-on collision between two cars at kilometer 8 of the CM-401, at the height of the town of Guadamur in Toledo.As reported to Europa Press sources of the Service of Care and Coordination of Emergencies and Emergencies 112 of Castilla-La Mancha, the events occurred on Friday at about 23.11 hours.The Civil Guard, firefighters from Toledo and Orgaz who had to rescue the body of the victim to be trapped after the crash, an emergency doctor, an ICU and an ambulance attended the scene.","Two drivers collide head-on in Guadamur (Toledo), fatally injuring one woman and critically injuring another","A woman tragically lost her life, while another suffered critical injuries after a head-on collision between two cars at kilometer 8 of the CM-401, near the town of Guadamur in Toledo. According to sources from the Service of Care and Coordination of Emergencies and Emergencies 112 of Castilla-La Mancha, the accident occurred on Friday at approximately 23:11 hours. The event marks yet another tragic collision on the notoriously dangerous CM-401 road, which has seen numerous incidents in recent years.
The Civil Guard, firefighters from Toledo and Orgaz, had to rescue the body of the victim. Emergency services, including an emergency doctor and an ICU, were dispatched to the scene. The body was trapped, and extracting her took significant time and effort.
The psychological impact on the driver who survived is still being assessed, highlighting the severe emotional toll these incidents can take on survivors.",532
Three brothers among four killed in road accident,2025-02-17 00:00:00,131.0," Four people including three brothers were killed in a road accident near here on Sunday.  According to Rescue-1122, the accident took place at Kot Addu Road near Aziz Farm  where a tractor-trolley loaded with building material overturned after colliding with a truck.  The people sitting on top of trolley were trapped under the debris.  Rescue officials rushed to the spot and pulled out the bodies from debris. The victims  were identified as three brothers- Yousuf (26), Rafi (33) and Yunus (35), and another  person Shahid-ur-Rehman (20). However, a man identified as Ehsan Ali (30) suffered  multiple injuries.  The Rescuers shifted the dead and injured to the District Headquarters Hospital.  All the victims belonged to Chak No. 623 TDA, a suburban area near Chowk Sarwar Shaheed.","Trolley drivers collide with truck; Three brothers, 10-year-old among four killed in Kot Addu Road crash","A tragic road accident near Kot Addu Road on Sunday night claimed four lives, including those of three brothers and a young boy. According to Rescue-1122, a tractor-trolley drivers attempted to overtake a truck while carrying building materials, resulting in an head-on collision.
A 10-year-old boy, Shahid-ur-Rehman, was pronounced dead at the scene, as were three brothers: Yousuf (26), Rafi (33), and Yunus (35). The vehicles overturned with debris scattering everywhere.
Meanwhile, 30-year-old Ehsan Ali was taken to District Headquarters Hospital with multiple injuries and was expected to remain in the Intensive Care Unit until further notice. One of the surviving brothers exhibited signs of severe psychological trauma and   emergency personnel had to hold back his anguished screams as they attempted to remove the bodies. These victims came from the Chak No. 623 TDA, a suburban area near downtown.
As road accidents continue to claim lives across Pakistan, this latest tragedy underscores the urgent need for improved road safety measures and better enforcement of traffic rules. The national road safety statistics indicate a 20 percent increase in fatal accidents during the past 5 years since Rescue-1122 began tracking this information. It is clear that drastic action, local investment, and safety improvement, are necessary to prevent these incidents from occurring.",788
Road closed in North Yorkshire town after serious road traffic collision,2025-02-19 00:00:00,31.0,"Police said the road is likely to be closed for some considerable time.A police spokesman said: “Please use alternative routes in and around Bentham.”More follows from police as we get it.
Graphic Police have closed a road in Bentham after a serious road traffic collision.",Police close road in North Yorkshire town after a serious collision involving multiple drivers,"Police have closed a road in Bentham after a serious collision involving multiple drivers. The road is likely to be closed for some considerable time as emergency services tend to the injured.
A police spokesman said: “Please use alternative routes in and around Bentham.”
This incident is the latest in a series of collisions in the area, highlighting ongoing concerns about traffic safety.
More details will follow from police as they become available. The physical and psychological well-being of those involved is a priority for the responding teams.",273
Crash on the Mexico - Puebla highway causes traffic chaos; pipe catches fire in the aftermath of the accident,2025-02-16 00:00:00,149.0,"This morning a traffic accident occurred on the Mexico-Puebla highway kilometer 53, which caused a gas pipe to catch fire; so far Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE) has informed that there is a traffic closure in both directions.CAPUFE asked to take precautions, as well as to be alert to the indications of the authorities; and asked people circulating in the area to call 074 for more information.This accident caused several vehicles to be stranded on the highway.6 CFE recommendations to avoid electrical accidentsThe column of smoke could be seen several kilometers away from the accident; so far there are no reports of injuries.CAPUFE informs that Plaza de Cobro San Marcos is now closed.Stranded vehicles that were in the closure were informed that Plaza de Cobro San Marcos will remain closed in the direction of Puebla.More information coming soon...",Drivers involved in crash on Mexico-Puebla highway cause traffic delays; pipe fire adds to chaos,"This morning, a traffic accident involving several drivers occurred on the Mexico-Puebla highway at kilometer 53, causing a gas pipe to catch fire. So far, Caminos y Puentes Federales de Ingresos y Servicios Conexos (CAPUFE) has informed that there is a traffic closure in both directions, stranding multiple vehicles and causing significant delays. 
CAPUFE asked drivers to take precautions and be alert to the indications of the authorities. They also asked people circulating in the area to call 074 for more information. This accident caused several drivers to be stranded on the highway, some of whom may be experiencing stress and anxiety due to the unexpected event. 
The column of smoke could be seen several kilometers away from the accident; so far there are no reports of injuries. However, the psychological impact on the drivers involved cannot be underestimated, as such incidents can leave lasting effects. CAPUFE informs that Plaza de Cobro San Marcos is now closed. Stranded drivers that were in the closure were informed that Plaza de Cobro San Marcos will remain closed in the direction of Puebla. 
This incident highlights the ongoing need for improved traffic safety measures on the Mexico-Puebla highway, which has seen numerous accidents in recent years. More information is coming soon.",894
Pedestrian struck by vehicle,2025-02-07 00:00:00,113.0,"Feb. 7—By Albert Lea TribuneA pedestrian was reportedly struck by a minivan while crossing Garfield Avenue Wednesday night.The individual, Luis Manuel Ackerman, 23, was taken by ambulance to Mayo Clinic Health System in Albert Lea.Police stated the crash was originally reported as a hit-and-run, and the vehicle was located a short time later.The report stated Alexis Mae Mack, 18, was driving a 2006 Dodge Caravan north on Garfield when she struck Ackerman.The incident was reported at 11:02 p.m.Police cited Mack with failure to drive with due care.© 2025 the Albert Lea Tribune (Albert Lea, Minn.). Visit www.albertleatribune.com. Distributed by Tribune Content Agency, LLC.",Woman driving minivan strikes pedestrian on Garfield Avenue,"Feb. 7—By Albert Lea Tribune
A 23-year-old man, Luis Manuel Ackerman, was reportedly struck by a minivan driven by Alexis Mae Mack, 18 while crossing Garfield Avenue Wednesday night. 
Ackerman was taken by ambulance to Mayo Clinic Health System in Albert Lea for treatment, but his specific injuries were not disclosed. Mack, who reportedly issued a statement expressing distress about the incident, was located after the crash was initially reported as a hit-and-run.
Police stated that Mack was driving a 2006 Dodge Caravan north on Garfield when she struck Ackerman.
The incident was reported at 11:02 p.m.
Police cited Mack with failure to drive with due care. This collision marks a concerning trend of pedestrian-related incidents in the vicinity, highlighting local concerns over traffic safety.

© 2025 the Albert Lea Tribune (Albert Lea, Minn.). Visit www.albertleatribune.com. Distributed by Tribune Content Agency, LLC.",678
Three students killed in road accident in Haveri district,2025-02-11 00:00:00,137.0,"Three students on a motorcycle were killed on the spot after they were run over by bullock carts in Haveri district during the early hours of Tuesday.The victims have been identified as 25-year-old Shashikumar Hulagappa Uppar of Kanavalli in Haveri district, 23-year-old Akash Malakappa Biradar of Godihala in Vijayapura district and 23-year-old Darshan of Jojana in Bidar district.The three were students of the Agriculture College at Hanumanamatti in Ranebennur taluk.As the annual Mailar Jatra Mahotsav is under way, devotees are proceeding to Mailar in hundreds of bullock carts.The victims who had gone to Guttal on their motorcycle were returning when they reportedly lost control and hit a bullock cart near Gudagur Cross.According to the police, they fell to the ground and came under the wheels of the bullock carts.",Bullock cart drivers fatally struck three students on a motorcycle in Haveri district,"Three students on a motorcycle were killed on the spot after bullock cart drivers struck them in Haveri district during the early hours of Tuesday. The victims have been identified as 25-year-old Shashikumar Hulagappa Uppar of Kanavalli in Haveri district, 23-year-old Akash Malakappa Biradar of Godihala in Vijayapura district and 23-year-old Darshan of Jojana in Bidar district. The three were students of the Agriculture College at Hanumanamatti in Ranebennur taluk.
As the annual Mailar Jatra Mahotsav is under way, devotees are proceeding to Mailar in hundreds of bullock carts. The victims, who had gone to Guttal on their motorcycle, were returning when they reportedly lost control and hit a bullock cart near Gudagur Cross. According to the police, they fell to the ground and came under the wheels of the bullock carts, suffering fatal injuries. This incident highlights the ongoing dangers of shared roads and the need for increased safety measures during festivals.
The crash is one of several recent incidents involving bullock carts and motorcycles, raising concerns about road safety and the need for better regulation and awareness among all road users.",825
